Province,Cases,Deaths,Recoveries,Active Cases,Tests,Date
#adm1+name,#affected+infected+cases,#affected+infected+deaths,#affected+infected+recoveries,#affected+infected+active,,#date
Badakhshan,451,7,99,,,2020-10-23
Badghis,678,12,613,,,2020-10-23
Baghlan,696,30,288,,,2020-10-23
Balkh,"2,261",96,"1,477",,,2020-10-23
Bamyan,900,12,707,,,2020-10-23
Dykundi,808,14,534,,,2020-10-23
Farah,435,15,80,,,2020-10-23
Faryab,260,17,237,,,2020-10-23
Ghazni,577,48,479,,,2020-10-23
Ghor,542,13,184,,,2020-10-23
Helmand,214,27,178,,,2020-10-23
Hirat,"6,972",251,"6,028",,,2020-10-23
Jawzjan,197,6,188,,,2020-10-23
Kabul,"15,197",553,"14,527",,,2020-10-23
Kandahar,"1,539",37,"1,387",,,2020-10-23
Kapisa,205,10,193,,,2020-10-23
Khost,429,38,389,,,2020-10-23
Kunar,426,19,382,,,2020-10-23
Kunduz,686,20,430,,,2020-10-23
Laghman,396,4,151,,,2020-10-23
Logar,549,27,514,,,2020-10-23
Nangarhar,"1,458",81,"1,094",,,2020-10-23
Nimroz,401,8,382,,,2020-10-23
Nooristan,87,,38,,,2020-10-23
Paktika,214,6,144,,,2020-10-23
Paktya,"1,228",36,"1,054",,,2020-10-23
Panjsher,302,16,260,,,2020-10-23
Parwan,418,20,321,,,2020-10-23
Samangan,333,14,311,,,2020-10-23
Sar-e-Pul,136,6,124,,,2020-10-23
Takhar,"1,148",37,735,,,2020-10-23
Urozgan,65,4,56,,,2020-10-23
Wardak,331,16,301,,,2020-10-23
Zabul,148,7,125,,,2020-10-23
Badakhshan,451,7,99,,,2020-10-22
Badghis,676,12,613,,,2020-10-22
Baghlan,696,30,288,,,2020-10-22
Balkh,"2,261",96,"1,466",,,2020-10-22
Bamyan,900,12,707,,,2020-10-22
Dykundi,808,14,419,,,2020-10-22
Farah,424,15,80,,,2020-10-22
Faryab,260,17,237,,,2020-10-22
Ghazni,577,47,479,,,2020-10-22
Ghor,542,13,184,,,2020-10-22
Helmand,214,27,178,,,2020-10-22
Hirat,"6,936",251,"6,028",,,2020-10-22
Jawzjan,197,6,188,,,2020-10-22
Kabul,"15,187",553,"14,527",,,2020-10-22
Kandahar,"1,537",37,"1,384",,,2020-10-22
Kapisa,205,10,193,,,2020-10-22
Khost,429,38,389,,,2020-10-22
Kunar,426,19,382,,,2020-10-22
Kunduz,686,20,430,,,2020-10-22
Laghman,396,4,151,,,2020-10-22
Logar,549,27,514,,,2020-10-22
Nangarhar,"1,458",81,"1,094",,,2020-10-22
Nimroz,401,8,382,,,2020-10-22
Nooristan,87,,38,,,2020-10-22
Paktika,214,6,144,,,2020-10-22
Paktya,"1,228",36,"1,054",,,2020-10-22
Panjsher,302,16,260,,,2020-10-22
Parwan,418,20,271,,,2020-10-22
Samangan,333,14,311,,,2020-10-22
Sar-e-Pul,136,6,124,,,2020-10-22
Takhar,"1,148",36,735,,,2020-10-22
Urozgan,65,4,56,,,2020-10-22
Wardak,331,16,301,,,2020-10-22
Zabul,148,7,125,,,2020-10-22
Badakhshan,451,7,99,,,2020-10-21
Badghis,676,12,613,,,2020-10-21
Baghlan,681,30,288,,,2020-10-21
Balkh,"2,250",95,"1,466",,,2020-10-21
Bamyan,900,12,707,,,2020-10-21
Dykundi,808,14,419,,,2020-10-21
Farah,424,15,80,,,2020-10-21
Faryab,260,17,237,,,2020-10-21
Ghazni,577,47,479,,,2020-10-21
Ghor,542,13,184,,,2020-10-21
Helmand,213,27,178,,,2020-10-21
Hirat,"6,895",251,"6,028",,,2020-10-21
Jawzjan,197,6,188,,,2020-10-21
Kabul,"15,175",553,"14,527",,,2020-10-21
Kandahar,"1,534",37,"1,377",,,2020-10-21
Kapisa,205,10,193,,,2020-10-21
Khost,429,38,389,,,2020-10-21
Kunar,424,19,382,,,2020-10-21
Kunduz,674,20,430,,,2020-10-21
Laghman,394,4,151,,,2020-10-21
Logar,549,27,514,,,2020-10-21
Nangarhar,"1,456",79,"1,094",,,2020-10-21
Nimroz,401,8,382,,,2020-10-21
Nooristan,87,,38,,,2020-10-21
Paktika,214,6,144,,,2020-10-21
Paktya,"1,228",36,"1,054",,,2020-10-21
Panjsher,300,16,260,,,2020-10-21
Parwan,406,19,271,,,2020-10-21
Samangan,333,14,311,,,2020-10-21
Sar-e-Pul,136,6,124,,,2020-10-21
Takhar,"1,148",36,735,,,2020-10-21
Urozgan,65,4,56,,,2020-10-21
Wardak,331,16,301,,,2020-10-21
Zabul,147,7,125,,,2020-10-21
Badakhshan,451,7,99,,,2020-10-20
