Governorate,Cases,Deaths,Recoveries,Active Cases,Date
#adm1+name,#affected+infected+confirmed,#affected+infected+dead,#affected+infected+recovered,#affected+infected+active,#date
ANBAR,7179,71,6019,1089,2020-11-01
BABYLON,19780,561,17914,1305,2020-11-01
BAGHDAD-KARKH,84394,873,79607,3914,2020-11-01
BAGHDAD-RUSAFA and MEDICAL City,85376,1883,81138,2355,2020-11-01
BASRAH,38984,900,37316,768,2020-11-01
DAHUK,30766,629,17055,13082,2020-11-01
DIWANIYA,17598,403,16827,368,2020-11-01
DIYALA,18996,258,17771,967,2020-11-01
ERBIL,34930,857,21392,12681,2020-11-01
KERBALA,21944,510,21260,174,2020-11-01
KIRKUK,24462,737,18339,5386,2020-11-01
MISSAN,17946,443,17192,311,2020-11-01
MUTHANNA,12160,231,11436,493,2020-11-01
NAJAF,21160,307,20247,606,2020-11-01
NINEWA,19527,448,16876,2203,2020-11-01
SALAH AL-DIN,13720,247,10209,3264,2020-11-01
SULAYMANIYAH,31309,1683,22241,7385,2020-11-01
THI-QAR,23220,795,22128,297,2020-11-01
WASSIT,31316,470,29603,1243,2020-11-01
ANBAR,7142,71,5986,1085,2020-11-30
BABYLON,19716,558,17839,1319,2020-11-30
BAGHDAD-KARKH,84027,872,79237,3918,2020-11-30
BAGHDAD-RUSAFA and MEDICAL City,85236,1880,80822,2534,2020-11-30
BASRAH,38897,899,37236,762,2020-11-30
DAHUK,30596,624,16915,13057,2020-11-30
DIWANIYA,17574,403,16791,380,2020-11-30
DIYALA,18726,258,17677,791,2020-11-30
ERBIL,34839,852,21275,12712,2020-11-30
KERBALA,21917,510,21236,171,2020-11-30
KIRKUK,24054,730,18123,5201,2020-11-30
MISSAN,17930,443,17167,320,2020-11-30
MUTHANNA,12139,231,11416,492,2020-11-30
NAJAF,21117,304,20202,611,2020-11-30
NINEWA,19313,444,16770,2099,2020-11-30
SALAH AL-DIN,13669,246,10207,3216,2020-11-30
SULAYMANIYAH,31181,1670,22173,7338,2020-11-30
THI-QAR,23200,793,22100,307,2020-11-30
WASSIT,31276,470,29502,1304,2020-11-30
ANBAR,7109,71,5941,1097,2020-11-29
BABYLON,19661,556,17666,1439,2020-11-29
BAGHDAD-KARKH,83608,870,78933,3805,2020-11-29
BAGHDAD-RUSAFA and MEDICAL City,85089,1872,80506,2711,2020-11-29
BASRAH,38849,898,37161,790,2020-11-29
DAHUK,30425,622,16884,12919,2020-11-29
DIWANIYA,17531,403,16752,376,2020-11-29
DIYALA,18591,258,17562,771,2020-11-29
ERBIL,34728,851,21161,12716,2020-11-29
KERBALA,21905,510,21223,172,2020-11-29
KIRKUK,23752,729,17950,5073,2020-11-29
MISSAN,17908,443,17137,328,2020-11-29
MUTHANNA,12125,231,11394,500,2020-11-29
NAJAF,21037,304,20186,547,2020-11-29
NINEWA,19079,440,16630,2009,2020-11-29
SALAH AL-DIN,13565,245,10153,3167,2020-11-29
SULAYMANIYAH,31048,1659,22120,7269,2020-11-29
