Report Date,As of Date,State,Confirmed Cases,Source
,#date,#adm1+name,#affected+infected+confirmed+fatalities,#source+url
,12/31/2020,Abyei PCA,,https://app.powerbi.com/view?r=eyJrIjoiNTJmYTlkZTgtOTgyOC00ZWY1LTlmZDAtNzQ1OTIxNDhjZDIzIiwidCI6IjBmOWUzNWRiLTU0NGYtNGY2MC1iZGNjLTVlYTQxNmU2ZGM3MCIsImMiOjh9
,12/31/2020,Khartoum,"20,093",
,12/31/2020,El Jazirah,"1,828",
,12/31/2020,Red Sea,655,
,12/31/2020,River Nile,613,
,12/31/2020,Northern,453,
,12/31/2020,Gedaref,444,
,12/31/2020,Sennar,343,
,12/31/2020,Kassala,312,
,12/31/2020,North Kordofan,279,
,12/31/2020,White Nile,237,
,12/31/2020,North Darfur,157,
,12/31/2020,West Kordofan,96,
,12/31/2020,South Darfur,69,
,12/31/2020,Blue Nile,47,
,12/31/2020,West Darfur,45,
,12/31/2020,South Kordofan,27,
,12/31/2020,East Darfur,26,
,12/31/2020,Cental Darfur,6,
,12/20/2020,Abyei PCA,,https://app.powerbi.com/view?r=eyJrIjoiNTJmYTlkZTgtOTgyOC00ZWY1LTlmZDAtNzQ1OTIxNDhjZDIzIiwidCI6IjBmOWUzNWRiLTU0NGYtNGY2MC1iZGNjLTVlYTQxNmU2ZGM3MCIsImMiOjh9
,12/20/2020,Khartoum,"18,084",
,12/20/2020,El Jazirah,"1,628",
,12/20/2020,Red Sea,624,
,12/20/2020,River Nile,574,
,12/20/2020,Northern,444,
,12/20/2020,Gedaref,422,
,12/20/2020,Sennar,316,
,12/20/2020,Kassala,301,
,12/20/2020,North Kordofan,252,
,12/20/2020,White Nile,229,
,12/20/2020,North Darfur,156,
,12/20/2020,West Kordofan,86,
,12/20/2020,South Darfur,56,
,12/20/2020,Blue Nile,45,
,12/20/2020,West Darfur,45,
,12/20/2020,South Kordofan,25,
,12/20/2020,East Darfur,23,
,12/20/2020,Cental Darfur,6,
,12/14/2020,Abyei PCA,,https://app.powerbi.com/view?r=eyJrIjoiNTJmYTlkZTgtOTgyOC00ZWY1LTlmZDAtNzQ1OTIxNDhjZDIzIiwidCI6IjBmOWUzNWRiLTU0NGYtNGY2MC1iZGNjLTVlYTQxNmU2ZGM3MCIsImMiOjh9
,12/14/2020,Khartoum,"17,150",
,12/14/2020,El Jazirah,"1,559",
,12/14/2020,Red Sea,598,
,12/14/2020,River Nile,553,
,12/14/2020,Northern,418,
,12/14/2020,Gedaref,349,
,12/14/2020,Sennar,307,
,12/14/2020,Kassala,264,
,12/14/2020,North Kordofan,235,
,12/14/2020,White Nile,228,
,12/14/2020,North Darfur,153,
,12/14/2020,West Kordofan,85,
,12/14/2020,South Darfur,55,
,12/14/2020,West Darfur,42,
,12/14/2020,Blue Nile,35,
,12/14/2020,East Darfur,23,
,12/14/2020,South Kordofan,22,
,12/14/2020,Cental Darfur,6,
,12/11/2020,Abyei PCA,,https://app.powerbi.com/view?r=eyJrIjoiNTJmYTlkZTgtOTgyOC00ZWY1LTlmZDAtNzQ1OTIxNDhjZDIzIiwidCI6IjBmOWUzNWRiLTU0NGYtNGY2MC1iZGNjLTVlYTQxNmU2ZGM3MCIsImMiOjh9
,12/11/2020,Khartoum,"16,554",
,12/11/2020,El Jazirah,"1,537",
,12/11/2020,Red Sea,578,
,12/11/2020,River Nile,532,
,12/11/2020,Northern,415,
,12/11/2020,Gedaref,336,
,12/11/2020,Sennar,303,
,12/11/2020,Kassala,255,
,12/11/2020,North Kordofan,235,
,12/11/2020,White Nile,224,
,12/11/2020,North Darfur,153,
,12/11/2020,West Kordofan,85,
,12/11/2020,South Darfur,54,
,12/11/2020,West Darfur,40,
,12/11/2020,Blue Nile,35,
,12/11/2020,East Darfur,22,
,12/11/2020,South Kordofan,22,
,12/11/2020,Cental Darfur,6,
,12/08/2020,Abyei PCA,,https://app.powerbi.com/view?r=eyJrIjoiNTJmYTlkZTgtOTgyOC00ZWY1LTlmZDAtNzQ1OTIxNDhjZDIzIiwidCI6IjBmOWUzNWRiLTU0NGYtNGY2MC1iZGNjLTVlYTQxNmU2ZGM3MCIsImMiOjh9
,12/08/2020,Khartoum,"15,729",
,12/08/2020,El Jazirah,"1,509",
,12/08/2020,Red Sea,554,
,12/08/2020,River Nile,532,
,12/08/2020,Northern,415,
,12/08/2020,Gedaref,321,
,12/08/2020,Sennar,296,
,12/08/2020,Kassala,251,
,12/08/2020,North Kordofan,235,
,12/08/2020,White Nile,219,
,12/08/2020,North Darfur,153,
,12/08/2020,West Kordofan,78,
,12/08/2020,South Darfur,52,
,12/08/2020,West Darfur,39,
,12/08/2020,Blue Nile,35,
,12/08/2020,East Darfur,22,
,12/08/2020,South Kordofan,22,
,12/08/2020,Cental Darfur,6,
,12/05/2020,Abyei PCA,,https://app.powerbi.com/view?r=eyJrIjoiNTJmYTlkZTgtOTgyOC00ZWY1LTlmZDAtNzQ1OTIxNDhjZDIzIiwidCI6IjBmOWUzNWRiLTU0NGYtNGY2MC1iZGNjLTVlYTQxNmU2ZGM3MCIsImMiOjh9
,12/05/2020,El Gazira,"1,487",
,12/05/2020,Blue Nile,35,
,12/05/2020,Central Darfur,6,
,12/05/2020,East Darfur,21,
,12/05/2020,Gedaref,317,
,12/05/2020,Kassala,250,
,12/05/2020,Khartoum,"15,058",
,12/05/2020,North Darfur,153,
,12/05/2020,North Kordofan,231,
,12/05/2020,Northern,414,
,12/05/2020,Red Sea,546,
,12/05/2020,River Nile,527,
,12/05/2020,Sennar,294,
,12/05/2020,South Darfur,51,
,12/05/2020,South Kordofan,22,
,12/05/2020,West Darfur,39,
,12/05/2020,West Kordofan,77,
,12/05/2020,White Nile,219,
