ISO3,ID,add_or_remove,acaps_category,acaps_measure,acaps_comments,source,start_date,end_date,affected_pcodes,compliance_level,can_be_modelled,final_input,npis_linked,OCHA_comments
SSD,330.0,add,Movement restrictions,International flights suspension,Flights suspended with affected countries. ||targeted pop group: Yes|non compliance: Not applicable,AA|source type: Media|link: https://www.aa.com.tr/en/africa/s-sudan-halts-flights-with-covid-19-affected-countries/1765141|,1584057600000000000,,,,,,,
SSD,343.0,add,Public health measures,Health screenings in airports and border crossings,||targeted pop group: No|non compliance: Not applicable,Eye Radio|source type: Media|link: https://eyeradio.org/some-vips-avoid-coronavirus-screening-at-jia/|,1582156800000000000,,,,,,,
SSD,349.0,add,Public health measures,Awareness campaigns,Sanitation and hygiene recommendations||targeted pop group: No|non compliance: Not applicable,East African|source type: Media|link: https://www.theeastafrican.co.ke/news/ea/South-Sudan-precautions-against-coronavirus/4552908-5491866-1258q0d/index.html|,1584230400000000000,,,,,,,
SSD,816.0,add,Social distancing,Limit public gatherings,ban of public gatherings||targeted pop group: No|non compliance: Not available,Anadolu|source type: Media|link: https://www.aa.com.tr/en/africa/coronavirus-south-sudan-bans-social-gatherings/1768378|,1584230400000000000,,,,,,,
SSD,817.0,add,Public health measures,Isolation and quarantine policies,"travelers from coronavirus affected countries are required to self-quarantine, including appointed ministers and deputy ministers||targeted pop group: Yes|non compliance: Not applicable",AA|source type: Media|link: https://www.aa.com.tr/en/africa/coronavirus-south-sudan-bans-social-gatherings/1768378|alternative source: https://sudantribune.com/spip.php?article69109,1584316800000000000,,,,,,,
SSD,1754.0,add,Social distancing,Schools closure ,South Sudan announces suspension of all classes in all schools and universities for the next month.||targeted pop group: No|non compliance: Not applicable,Radio Tamazuj|source type: Media|link: https://radiotamazuj.org/en/news/article/south-sudan-closes-schools-universities-amid-coronavirus-fears|,1584662400000000000,,,,,,,
SSD,2990.0,add,Social distancing,Limit public gatherings,South sudan suspends training of its military.||targeted pop group: Yes|non compliance: Not applicable,AA News|source type: Media|link: https://www.aa.com.tr/en/africa/covid-19-s-sudan-suspends-training-of-unified-forces/1782177|,1585267200000000000,,,,,,,
SSD,5413.0,add,Movement restrictions,Curfews,South sudan has curfew from 8pm to 6am.||targeted pop group: No|non compliance: Arrest/Detention,OSAC|source type: Government|link: https://www.osac.gov/Content/Report/10c44b03-fdf8-4249-856a-1848aca55939|,1585094400000000000,,,,,,,
SSD,5414.0,add,Social distancing,Limit public gatherings,"Governmnet directs postponement of weddings, festivals and other religious and sporting events. ||targeted pop group: Yes|non compliance: Arrest/Detention",South Sudan Governmnet|source type: Social media|link: https://twitter.com/SouthSudanGov/status/1246764630044815360/photo/1|,1586044800000000000,,,,,,,
SSD,5415.0,add,Movement restrictions,Domestic travel restrictions,Suspension of all internal flights||targeted pop group: No|non compliance: Arrest/Detention,South Sudan Governmnet|source type: Social media|link: https://twitter.com/SouthSudanGov/status/1249717234739675143/photo/2|,1586044800000000000,,,,,,,
SSD,5416.0,add,Movement restrictions,Domestic travel restrictions,"Suspension of passenger public transport, both public and private, between states. ||targeted pop group: No|non compliance: Arrest/Detention",South Sudan Governmnet|source type: Social media|link: https://twitter.com/SouthSudanGov/status/1249717234739675143/photo/2|,1586044800000000000,,,,,,,
SSD,5417.0,add,Social distancing,Limit public gatherings,Government directs that funeral gatherings be less than 5 people. ||targeted pop group: No|non compliance: Arrest/Detention,South Sudan Governmnet|source type: Social media|link: https://twitter.com/SouthSudanGov/status/1246764630044815360/photo/1|,1586044800000000000,,,,,,,
SSD,6609.0,add,Social distancing,Changes in prison-related policies,"A circular has been distributed to all states instructing prison authorities to release 1,400 inmates to ease overcrowding.||targeted pop group: Yes|non compliance: Not applicable",The Observer|source type: Media|link: https://observer.ug/news/headlines/64360-south-sudan-frees-1-400-prisoners-over-covid-19|,1587254400000000000,,,,,,,
SSD,7867.0,add,Social distancing,Changes in prison-related policies,"Judiciary of South Suda, Ministry of Interior, justice and constitutional affairs and of the defence and veterans affairs, ordered to report to taskforce on conditions of inmates and to make recommnedations on decongestion of prisons and detention centres.||targeted pop group: Yes|non compliance: Not applicable",South Sudan Government|source type: Social media|link: https://twitter.com/SouthSudanGov/status/1253925919397462016/photo/2|,1587686400000000000,,,,,,,
SSD,8595.0,add,Movement restrictions,Curfews,South Sudan government imposes curfew from 7pm to 6am until further notice.||targeted pop group: No|non compliance: Not available,South Sudan Government|source type: Social media|link: https://twitter.com/SouthSudanGov/status/1255190594600800258/photo/2|,1588118400000000000,,,,,,,
SSD,8596.0,add,Social distancing,Closure of businesses and public services,All tea and shisha stalls are to be closed with immediate effect. ||targeted pop group: No|non compliance: Not available,South Sudan Government|source type: Social media|link: https://twitter.com/SouthSudanGov/status/1255190594600800258/photo/1|,1588032000000000000,,,,,,,
