#adm1+pcode,#adm2+pcode,#date,#affected+infected+confirmed+total,#affected+infected+dead+total,created_at,created_by
CD52,CD5204,2020-11-03,0.16552663622248118,0.004287647269450329,2020-12-11 10:12:10.548655,tinkavalentijn
CD52,CD5207,2020-11-03,0.07791583818403536,0.0020182590455574065,2020-12-11 10:12:10.548655,tinkavalentijn
CD52,CD5209,2020-11-03,0.09413225792164391,0.002438314025196837,2020-12-11 10:12:10.548655,tinkavalentijn
CD52,CD5206,2020-11-03,0.19255233942016456,0.004987695824564894,2020-12-11 10:12:10.548655,tinkavalentijn
CD52,CD5202,2020-11-03,0.2094767750908118,0.005426090587161917,2020-12-11 10:12:10.548655,tinkavalentijn
CD52,CD5210,2020-11-03,0.0034143902315097287,8.844317317784204e-05,2020-12-11 10:12:10.548655,tinkavalentijn
CD52,CD5208,2020-11-03,0.25698176292935343,0.006656615389933994,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4107,2020-06-06,0.15831702010155618,0.00410089611217362,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4102,2020-06-06,0.13717480714466596,0.0035532479890467397,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4108,2020-06-06,0.1957026883629675,0.005069299518995496,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4104,2020-06-06,0.07214743886247732,0.0018688398211678375,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4109,2020-06-06,0.12012452670938956,0.0031115934612919714,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4103,2020-06-06,0.07795382590736255,0.0020192430440359203,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4105,2020-06-06,0.0605259205271547,0.0015678068726680033,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4101,2020-06-06,0.1780537723844262,0.004612138495663631,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4107,2020-06-14,0.15831702010155618,0.00410089611217362,2020-12-11 10:12:10.548655,tinkavalentijn
CD41,CD4102,2020-06-14,0.13717480714466596,0.0035532479890467397,2020-12-11 10:12:10.548655,tinkavalentijn
