admin2,date,elderly_shielding,home,mobility_reduction,other_locations,r0_reduction,school,work
G01Q01,2020-07-16,1.0,1.0,0.7,1.0,1.0,1.0,1.0
G01Q01,2020-07-17,1.0,1.0,0.7,1.0,1.0,1.0,1.0
G01Q01,2020-07-18,1.0,1.0,0.7,1.0,1.0,1.0,1.0
G01Q01,2020-07-19,1.0,1.0,0.7,1.0,1.0,1.0,1.0
G01Q01,2020-07-20,1.0,1.0,0.7,1.0,1.0,1.0,1.0
G01Q01,2020-07-21,1.0,1.0,0.7,1.0,1.0,1.0,1.0
G01Q01,2020-07-22,1.0,1.0,0.7,1.0,1.0,1.0,1.0
G01Q01,2020-07-23,1.0,1.0,0.7,1.0,1.0,1.0,1.0
G01Q01,2020-07-24,1.0,1.0,0.7,1.0,1.0,1.0,1.0
G01Q01,2020-07-25,1.0,1.0,0.7,1.0,1.0,1.0,1.0
G01Q01,2020-07-26,1.0,1.0,0.7,1.0,1.0,1.0,1.0
G01Q01,2020-07-27,1.0,1.0,0.7,1.0,1.0,1.0,1.0
G01Q01,2020-07-28,1.0,1.0,0.7,1.0,1.0,1.0,1.0
G01Q01,2020-07-29,1.0,1.0,0.7,1.0,1.0,1.0,1.0
G01Q01,2020-07-30,1.0,1.0,0.7,1.0,1.0,1.0,1.0
G01Q01,2020-07-31,1.0,1.0,0.7,1.0,1.0,1.0,1.0
G01Q01,2020-08-01,1.0,1.0,0.7,1.0,1.0,1.0,1.0
G01Q01,2020-08-02,1.0,1.0,0.7,1.0,1.0,1.0,1.0
G01Q01,2020-08-03,1.0,1.0,0.7,1.0,0.8,1.0,1.0
G01Q01,2020-08-04,1.0,1.0,0.7,1.0,0.8,1.0,1.0
G01Q01,2020-08-05,1.0,1.0,0.7,1.0,0.8,1.0,1.0
G01Q01,2020-08-06,1.0,1.0,0.7,1.0,0.8,1.0,1.0
G01Q01,2020-08-07,1.0,1.0,0.7,1.0,0.8,1.0,1.0
G01Q01,2020-08-08,1.0,1.0,0.7,1.0,0.8,1.0,1.0
G01Q01,2020-08-09,1.0,1.0,0.7,1.0,0.8,1.0,1.0
G01Q01,2020-08-10,1.0,1.0,0.7,1.0,0.8,1.0,1.0
G01Q01,2020-08-11,1.0,1.0,0.7,1.0,0.8,1.0,1.0
G01Q01,2020-08-12,1.0,1.0,0.7,1.0,0.8,1.0,1.0
G01Q01,2020-08-13,1.0,1.0,0.7,1.0,0.8,1.0,1.0
