#adm1+pcode,#adm2+pcode,#date,#affected+infected+confirmed+total,#affected+infected+dead+total,created_at,created_by
SO22,SO2201,2020-05-19,1048.0,39.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-05-20,1063.0,42.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-05-21,1080.0,42.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-05-25,1099.0,42.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-05-26,1118.0,43.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-05-27,1123.0,43.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-05-28,1126.0,43.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-05-29,1161.0,50.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-06-01,1177.0,53.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-06-03,1219.0,52.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-06-04,1253.0,52.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-06-05,1285.0,52.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-06-09,1329.0,54.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-06-10,1348.0,54.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-06-11,1348.0,54.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-06-15,1371.0,54.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-06-16,1385.0,54.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-06-17,1385.0,54.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-06-18,1393.0,54.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-06-19,1396.0,54.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-06-25,1417.0,54.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-06-26,1417.0,54.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-06-29,1417.0,54.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-06-30,1417.0,54.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-07-01,1432.0,54.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-07-06,1436.0,57.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-07-07,1436.0,57.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-07-08,1436.0,57.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-07-09,1453.0,55.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-07-10,1453.0,55.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-07-13,1463.0,55.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-07-14,1463.0,55.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-07-15,1463.0,55.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-07-16,1477.0,55.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-07-20,1493.0,55.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-07-22,1493.0,55.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-07-23,1493.0,55.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-07-24,1511.0,55.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-07-27,1513.0,55.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-07-28,1513.0,55.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-07-29,1513.0,55.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-08-04,1519.0,55.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-08-05,1519.0,55.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-08-10,1519.0,55.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-08-17,1525.0,55.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-08-19,1525.0,55.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-08-24,1526.0,55.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-08-31,1527.0,55.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-09-07,1530.0,55.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-09-14,1531.0,55.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-09-22,1535.0,55.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-09-28,1535.0,55.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-10-12,1539.0,55.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-10-20,1544.0,55.0,2020-10-23 14:41:28.655496,milano
SO22,SO2201,2020-10-23,1551.0,56.0,2020-10-23 14:41:28.655496,milano
SO18,SO1801,2020-05-19,2.401574952186452,0.0,2020-10-23 14:41:28.655496,milano
SO18,SO1802,2020-05-19,0.727307034708856,0.0,2020-10-23 14:41:28.655496,milano
SO18,SO1803,2020-05-19,1.2075474081000541,0.0,2020-10-23 14:41:28.655496,milano
SO18,SO1804,2020-05-19,0.6765921160763132,0.0,2020-10-23 14:41:28.655496,milano
SO18,SO1805,2020-05-19,1.1666827598053886,0.0,2020-10-23 14:41:28.655496,milano
SO19,SO1901,2020-05-19,1.609920122100621,0.0,2020-10-23 14:41:28.655496,milano
SO19,SO1902,2020-05-19,0.7688126526735837,0.0,2020-10-23 14:41:28.655496,milano
SO19,SO1903,2020-05-19,0.7542966361217105,0.0,2020-10-23 14:41:28.655496,milano
SO19,SO1904,2020-05-19,1.4040399610021448,0.0,2020-10-23 14:41:28.655496,milano
SO19,SO1905,2020-05-19,1.2832263572248768,0.0,2020-10-23 14:41:28.655496,milano
SO18,SO1801,2020-05-20,2.401574952186452,0.0,2020-10-23 14:41:28.655496,milano
SO18,SO1802,2020-05-20,0.727307034708856,0.0,2020-10-23 14:41:28.655496,milano
SO18,SO1803,2020-05-20,1.2075474081000541,0.0,2020-10-23 14:41:28.655496,milano
SO18,SO1804,2020-05-20,0.6765921160763132,0.0,2020-10-23 14:41:28.655496,milano
SO18,SO1805,2020-05-20,1.1666827598053886,0.0,2020-10-23 14:41:28.655496,milano
SO19,SO1901,2020-05-20,1.609920122100621,0.0,2020-10-23 14:41:28.655496,milano
SO19,SO1902,2020-05-20,0.7688126526735837,0.0,2020-10-23 14:41:28.655496,milano
SO19,SO1903,2020-05-20,0.7542966361217105,0.0,2020-10-23 14:41:28.655496,milano
SO19,SO1904,2020-05-20,1.4040399610021448,0.0,2020-10-23 14:41:28.655496,milano
SO19,SO1905,2020-05-20,1.2832263572248768,0.0,2020-10-23 14:41:28.655496,milano
SO18,SO1801,2020-05-21,2.401574952186452,0.0,2020-10-23 14:41:28.655496,milano
SO18,SO1802,2020-05-21,0.727307034708856,0.0,2020-10-23 14:41:28.655496,milano
SO18,SO1803,2020-05-21,1.2075474081000541,0.0,2020-10-23 14:41:28.655496,milano
SO18,SO1804,2020-05-21,0.6765921160763132,0.0,2020-10-23 14:41:28.655496,milano
SO18,SO1805,2020-05-21,1.1666827598053886,0.0,2020-10-23 14:41:28.655496,milano
SO19,SO1901,2020-05-21,1.609920122100621,0.0,2020-10-23 14:41:28.655496,milano
SO19,SO1902,2020-05-21,0.7688126526735837,0.0,2020-10-23 14:41:28.655496,milano
SO19,SO1903,2020-05-21,0.7542966361217105,0.0,2020-10-23 14:41:28.655496,milano
SO19,SO1904,2020-05-21,1.4040399610021448,0.0,2020-10-23 14:41:28.655496,milano
SO19,SO1905,2020-05-21,1.2832263572248768,0.0,2020-10-23 14:41:28.655496,milano
SO18,SO1801,2020-05-25,2.401574952186452,0.0,2020-10-23 14:41:28.655496,milano
SO18,SO1802,2020-05-25,0.727307034708856,0.0,2020-10-23 14:41:28.655496,milano
SO18,SO1803,2020-05-25,1.2075474081000541,0.0,2020-10-23 14:41:28.655496,milano
SO18,SO1804,2020-05-25,0.6765921160763132,0.0,2020-10-23 14:41:28.655496,milano
SO18,SO1805,2020-05-25,1.1666827598053886,0.0,2020-10-23 14:41:28.655496,milano
SO19,SO1901,2020-05-25,1.609920122100621,0.0,2020-10-23 14:41:28.655496,milano
SO19,SO1902,2020-05-25,0.7688126526735837,0.0,2020-10-23 14:41:28.655496,milano
SO19,SO1903,2020-05-25,0.7542966361217105,0.0,2020-10-23 14:41:28.655496,milano
SO19,SO1904,2020-05-25,1.4040399610021448,0.0,2020-10-23 14:41:28.655496,milano
